title,description,property_type,status,price,bedrooms,bathrooms
Luxury Villa in Downtown,Beautiful 4-bedroom villa with modern amenities and stunning city views,house,available,850000,4,3
Modern Apartment,Spacious 2-bedroom apartment in the heart of the city with parking,apartment,available,425000,2,2
Cozy Townhouse,Charming 3-bedroom townhouse in quiet neighborhood,house,available,375000,3,2
Penthouse Suite,Luxurious penthouse with panoramic views and rooftop terrace,apartment,available,1250000,3,3
Beach House,Stunning beachfront property with direct ocean access,house,rented,975000,5,4
Studio Apartment,Affordable studio in convenient location near transit,apartment,available,285000,1,1
Family Home,Spacious family home with large backyard and garage,house,available,465000,4,3
Modern Condo,Contemporary 2-bedroom condo with gym and pool access,apartment,rented,525000,2,2
Commercial Space,Prime commercial property in business district,commercial,available,1850000,0,2
Country Estate,Expansive estate on 5 acres with guest house,house,available,1450000,6,5
Luxury Apartment in Gulshan,Modern apartment near diplomatic zone,apartment,available,18000000,3,3
Family Flat in Dhanmondi,Spacious flat close to schools,apartment,available,12500000,3,2
Commercial Space Banani,Ideal for office use,commercial,available,30000000,0,2
Affordable Flat Mirpur,Budget friendly apartment,apartment,available,6500000,2,1
Independent House Uttara,Peaceful residential house,house,available,22000000,4,3
Modern Flat Bashundhara,Newly built apartment,apartment,available,14000000,3,2
Office Space Motijheel,Prime business location,commercial,rented,35000000,0,2
Cozy Apartment Mohammadpur,Near bus stand,apartment,available,7500000,2,1
Luxury House Banani,High-end residential house,house,available,45000000,5,4
Apartment Farmgate,Well connected area,apartment,rented,8500000,2,2
Flat Tejgaon,Close to industrial area,apartment,available,9000000,2,2
Commercial Building Paltan,Multi-purpose building,commercial,available,55000000,0,4
Old Style House Old Dhaka,Traditional design house,house,available,16000000,3,2
Apartment Agrabad,Sea nearby location,apartment,available,9500000,2,2
Office Pahartali,Commercial office space,commercial,available,20000000,0,2
Flat Nasirabad,Family friendly area,apartment,rented,8700000,2,2
House Kotwali,City center living,house,available,19000000,3,2
Apartment Zindabazar,Heart of Sylhet,apartment,available,7800000,2,1
Flat Amberkhana,Close to markets,apartment,available,8200000,2,2
House Shibganj,Quiet residential zone,house,available,15000000,3,2
Apartment Kazir Bazar,Central Sylhet flat,apartment,rented,8900000,2,2
Flat Boyra,Residential flat,apartment,available,7200000,2,1
House Sonadanga,Spacious family home,house,available,21000000,4,3
Commercial Khalishpur,Industrial commercial space,commercial,available,26000000,0,3
Apartment Rajpara,Near city center,apartment,available,8300000,2,2
Flat Uposhohor,Popular residential area,apartment,rented,9100000,3,2
House Kandirpar,Classic family house,house,available,17500000,3,2
Apartment Laksam,Comfortable living space,apartment,available,6800000,2,1
Flat Chashara,Busy city life apartment,apartment,available,8800000,2,2
House Savar,Near industrial zone,house,available,19500000,4,3
Apartment Gazipur City,Modern housing project,apartment,available,7600000,2,2
Office Space Gulshan,Premium office space,commercial,available,48000000,0,3
Luxury Flat Banani,Top-class living apartment,apartment,available,21000000,4,3
Family House Dhanmondi,Ideal for family living,house,available,32000000,5,4
Small Office Mirpur,Startup friendly office,commercial,available,12000000,0,1
Studio Apartment Uttara,Compact studio flat,apartment,available,5200000,1,1
Flat Bashundhara R/A,High rise apartment,apartment,available,13500000,3,2
Commercial Shop Farmgate,Retail business space,commercial,rented,17000000,0,1
House Tejgaon,Old but solid house,house,available,28000000,4,3
Luxury Apartment Gulshan 2,High rise apartment with lake view,apartment,available,25000000,4,3
Family Flat Banani DOHS,Secure residential area,apartment,available,18000000,3,2
Commercial Office Motijheel C/A,Corporate office floor,commercial,available,42000000,0,3
Affordable Flat Kazipara,Budget apartment near metro,apartment,available,5800000,2,1
Independent House Mohammadpur,Calm neighborhood house,house,available,24000000,4,3
Studio Apartment Farmgate,Perfect for bachelors,apartment,available,4500000,1,1
Office Space Tejgaon I/A,Industrial office space,commercial,rented,32000000,0,2
Luxury House Bashundhara R/A,Premium residential villa,house,available,65000000,6,5
Apartment Mirpur DOHS,Secure gated community,apartment,available,15500000,3,2
Retail Shop Paltan,Ground floor retail space,commercial,available,14000000,0,1
Flat Old Dhaka Heritage,Classic design apartment,apartment,rented,7200000,2,1
House Keraniganj Riverside,Quiet riverside house,house,available,17000000,3,2
Apartment Agrabad CDA,Planned residential flat,apartment,available,10500000,3,2
Commercial Building Nasirabad,Multi-storey commercial building,commercial,available,78000000,0,6
Flat GEC Circle,Modern apartment near mall,apartment,available,12500000,3,2
House Halishahar,Family friendly house,house,available,21000000,4,3
Apartment Zindabazar Central,Central Sylhet apartment,apartment,rented,8800000,2,2
